date,brent_crude_usd,usdcny,us_indpro,us_mfg_emp,us_cfnai,us_mfg_orders,china_exports_usd,us_imports_china,china_cli,us_cli,bdry_etf,wci_composite,brent_crude_usd_lr,usdcny_lr,bdry_etf_lr,wci_composite_lr,china_exports_usd_lr,us_imports_china_lr,brent_crude_usd_lag1,brent_crude_usd_lag2,usdcny_lag1,usdcny_lag2,china_cli_lag1,china_cli_lag2,us_cli_lag1,us_cli_lag2,bdry_etf_lag1,bdry_etf_lag2,wci_composite_lag1,wci_composite_lag2,brent_crude_usd_ma3,bdry_etf_ma3,wci_composite_ma3,month
2021-11-01,81.05,6.38893,100.8654,12498.0,0.65,554883.0,303635100000.0,254685000000.0,99.10775,101.1017,23.499047415597097,9200,-0.030236510030031014,-0.004416638576614944,-0.42081507794217354,-0.04255961441879589,0.011435362196113503,0.05006549263324227,83.53809523809524,74.48863636363636,6.41721,6.456300000000001,99.40945,99.78837,101.1362,101.1771,35.793809618268696,30.81761886959984,9600.0,9200.0,79.69224386724386,30.036825301155215,9333.333333333334,11
2021-12-01,74.1704761904762,6.369285714285714,100.5726,12537.0,0.17,566241.0,303592300000.0,259854000000.0,98.84699,101.0506,27.21363657171076,9200,-0.08870007219663262,-0.003079474697461637,0.14675830739693047,0.0,-0.00014096860606378726,0.020092447396135246,81.05,83.53809523809524,6.38893,6.41721,99.10775,99.40945,101.1017,101.1362,23.499047415597097,35.793809618268696,9200.0,9600.0,79.58619047619048,28.835497868525522,9333.333333333334,12
2022-01-01,86.50523809523808,6.35557,100.1856,12564.0,-0.04,571817.0,313757000000.0,261103000000.0,98.59792,100.9649,23.05550012588501,9400,0.1538387921336528,-0.0021557367573064733,-0.16581383406578915,0.021506205220963682,0.0329331180730793,0.004795030657487192,74.1704761904762,81.05,6.369285714285714,6.38893,98.84699,99.10775,101.0506,101.1017,27.21363657171076,23.499047415597097,9200.0,9200.0,80.57523809523809,24.589394704397623,9266.666666666666,1
2022-02-01,97.12899999999999,6.343552631578947,100.8064,12601.0,0.39,571624.0,297850900000.0,264536000000.0,98.35478,100.8374,23.00315826817563,9100,0.11583502376225079,-0.0018926302795758342,-0.0022728356433563968,-0.032435275753153844,-0.05202577522875769,0.013062382407197929,86.50523809523808,74.1704761904762,6.35557,6.369285714285714,98.59792,98.84699,100.9649,101.0506,23.05550012588501,27.21363657171076,9400.0,9200.0,85.93490476190476,24.424098321923804,9233.333333333334,2
2022-03-01,117.24521739130434,6.344552173913043,101.3907,12674.0,0.42,583312.0,285063100000.0,289180000000.0,98.12594,100.6531,25.270000043122664,8800,0.1882276247738827,0.00015755581333636202,0.09398640059677382,-0.03352269203864356,-0.04388246645404411,0.08907198370307498,97.12899999999999,86.50523809523808,6.343552631578947,6.35557,98.35478,98.59792,100.8374,100.9649,23.00315826817563,23.05550012588501,9100.0,9400.0,100.29315182884746,23.7762194790611,9100.0,3
2022-04-01,104.57526315789474,6.430999999999999,101.44,12726.0,0.0,586866.0,280102400000.0,278732000000.0,97.90408,100.4106,21.601499938964842,8400,-0.11436058287844253,0.013533527844742354,-0.15685516920867507,-0.04652001563489282,-0.01755530867348828,-0.03679858490167305,117.24521739130434,97.12899999999999,6.344552173913043,6.343552631578947,98.12594,98.35478,100.6531,100.8374,25.270000043122664,23.00315826817563,8800.0,9100.0,106.31649351639969,23.291552750087714,8766.666666666666,4
2022-05-01,113.33761904761906,6.698957142857143,101.3335,12735.0,-0.42,593328.0,305626200000.0,279006000000.0,97.70795,100.1133,23.482857113792782,7900,0.08046410957677773,0.04082181680959684,0.08350791652945198,-0.06136894637629213,0.0872075360040019,0.0009825402681651167,104.57526315789474,117.24521739130434,6.430999999999999,6.344552173913043,97.90408,98.12594,100.4106,100.6531,21.601499938964842,25.270000043122664,8400.0,8800.0,111.71936653227272,23.45145236529343,8366.666666666666,5
2022-06-01,122.71095238095238,6.695190476190476,101.018,12767.0,-0.25,602502.0,319682200000.0,279465000000.0,97.54786,99.80309,19.068571454002743,7200,0.07946046583857931,-0.0005624347100078379,-0.20822916426581956,-0.09278173345096621,0.044964590716594234,0.0016437741739543294,113.33761904761906,104.57526315789474,6.698957142857143,6.430999999999999,97.70795,97.90408,100.1133,100.4106,23.482857113792782,21.601499938964842,7900.0,8400.0,113.54127819548872,21.38430950225346,7833.333333333333,6
2022-07-01,111.92571428571429,6.735155000000001,101.223,12800.0,0.2,595337.0,324763500000.0,269620000000.0,97.43202,99.52975,14.642000007629395,6100,-0.09199622326052419,0.00595139445061148,-0.2641473944160236,-0.16579225484274407,0.015769847807090606,-0.0358635008775088,122.71095238095238,113.33761904761906,6.695190476190476,6.698957142857143,97.54786,97.70795,99.80309,100.1133,19.068571454002743,23.482857113792782,7200.0,7900.0,115.99142857142857,19.06447619180831,7066.666666666667,7
2022-08-01,100.44636363636364,6.8006782608695655,101.0963,12832.0,0.04,588812.0,303509000000.0,267507999999.99997,97.38782,99.31291,9.8526087221892,5000,-0.10821149605861294,0.00968152775053239,-0.39615784673442866,-0.19885085874516517,-0.06768596102935667,-0.007864087831992482,111.92571428571429,122.71095238095238,6.735155000000001,6.695190476190476,97.43202,97.54786,99.52975,99.80309,14.642000007629395,19.068571454002743,6100.0,7200.0,111.69434343434345,14.521060061273781,6100.0,8
